crystal_id,Binding Energy (kJ/mol/OSDA),Host,Guest SMILES,Guests/Cell,Metric,Parent ID,Substrate Theory,Complex
137372998,-98.28940939444384,CHA,CN1CCCC1,2,opt,87638706,DFT,"CHA,CN1CCCC1"
137447007,-89.7551818152749,CHA,CN1CCCC1,3,MD,87638709,DFT,"CHA,CN1CCCC1"
137449365,-100.2240218291993,CHA,CN1CCCC1,3,frz,87638711,DFT,"CHA,CN1CCCC1"
137444860,-104.80113919927811,CHA,CN1CCCC1,3,opt,137442718,SLC,"CHA,CN1CCCC1"
137446050,-107.10307525174416,CHA,CN1CCCC1,3,frz,137442720,SLC,"CHA,CN1CCCC1"
137446050,-98.65362576215779,CHA,CN1CCCC1,3,MD,137442720,SLC,"CHA,CN1CCCC1"
137356443,-79.96189042768299,CHA,Cn1ccnc1,7,opt,124289416,DFT,"CHA,Cn1ccnc1"
137331520,-88.26015633140038,CHA,Cn1ccnc1,7,frz,124289418,DFT,"CHA,Cn1ccnc1"
137331520,-78.11245178079125,CHA,Cn1ccnc1,7,MD,124289418,DFT,"CHA,Cn1ccnc1"
137451396,-97.56188776040811,CHA,Cn1ccnc1,3,frz,137443939,SLC,"CHA,Cn1ccnc1"
137451396,-97.09841282683722,CHA,Cn1ccnc1,3,opt,137443939,SLC,"CHA,Cn1ccnc1"
137451399,-85.9101148023871,CHA,Cn1ccnc1,4,MD,137443942,SLC,"CHA,Cn1ccnc1"
137351999,-135.54539198960993,CHA,C[C@@H]1CNC[C@H](C)C1,2,opt,87646692,DFT,"CHA,C[C@@H]1CNC[C@H](C)C1"
137440967,-139.16891475095227,CHA,C[C@@H]1CNC[C@H](C)C1,3,frz,87646695,DFT,"CHA,C[C@@H]1CNC[C@H](C)C1"
137440967,-128.01054602183726,CHA,C[C@@H]1CNC[C@H](C)C1,3,MD,87646695,DFT,"CHA,C[C@@H]1CNC[C@H](C)C1"
137444215,-137.6077969739015,CHA,C[C@@H]1CNC[C@H](C)C1,2,opt,137442073,SLC,"CHA,C[C@@H]1CNC[C@H](C)C1"
137444219,-143.87388577793368,CHA,C[C@@H]1CNC[C@H](C)C1,3,frz,137442077,SLC,"CHA,C[C@@H]1CNC[C@H](C)C1"
137444219,-129.91455289264374,CHA,C[C@@H]1CNC[C@H](C)C1,3,MD,137442077,SLC,"CHA,C[C@@H]1CNC[C@H](C)C1"
137325447,-169.67993285723142,CZP,NCCNCCNCCN,1,MD,83526154,DFT,"CZP,NCCNCCNCCN"
137325447,-118.29794708488967,CZP,NCCNCCNCCN,1,frz,83526154,DFT,"CZP,NCCNCCNCCN"
137325447,-4.694261478538388,CZP,NCCNCCNCCN,1,opt,83526154,DFT,"CZP,NCCNCCNCCN"
137444180,-102.15209432843683,DFT,NCCN,1,frz,83511924,DFT,"DFT,NCCN"
137444180,-97.50886007404576,DFT,NCCN,1,opt,83511924,DFT,"DFT,NCCN"
137444180,-82.77262088691273,DFT,NCCN,1,MD,83511924,DFT,"DFT,NCCN"
137440432,51.598621765888915,DFT,C1CNCCN1,1,frz,83525972,DFT,"DFT,C1CNCCN1"
137440432,130.7532075640027,DFT,C1CNCCN1,1,opt,83525972,DFT,"DFT,C1CNCCN1"
137440432,142.15343011085758,DFT,C1CNCCN1,1,MD,83525972,DFT,"DFT,C1CNCCN1"
137342750,-55.41584751802208,DFT,CNC,1,MD,83496981,DFT,"DFT,CNC"
137360716,-56.55859608548744,DFT,CNC,1,frz,83496982,DFT,"DFT,CNC"
137360716,-50.76769987421118,DFT,CNC,1,opt,83496982,DFT,"DFT,CNC"
137316406,361.0128473607749,DOH,C1CN2CCC1CC2,5,frz,87641427,DFT,"DOH,C1CN2CCC1CC2"
137316406,755.625897685894,DOH,C1CN2CCC1CC2,5,MD,87641427,DFT,"DOH,C1CN2CCC1CC2"
137316406,768.971477505794,DOH,C1CN2CCC1CC2,5,opt,87641427,DFT,"DOH,C1CN2CCC1CC2"
137446241,-115.17443832664033,EAB,C1COCCN1,4,frz,87641879,DFT,"EAB,C1COCCN1"
137446241,-115.15944764432835,EAB,C1COCCN1,4,opt,87641879,DFT,"EAB,C1COCCN1"
137446241,-106.42956675809626,EAB,C1COCCN1,4,MD,87641879,DFT,"EAB,C1COCCN1"
137448855,-106.29116771244573,EAB,C1CCNCC1,4,MD,87644469,DFT,"EAB,C1CCNCC1"
137448856,-120.3204023241486,EAB,C1CCNCC1,4,frz,87644470,DFT,"EAB,C1CCNCC1"
137448857,-119.08909411116942,EAB,C1CCNCC1,4,opt,87644471,DFT,"EAB,C1CCNCC1"
137446082,-118.98392584051903,EAB,C1CN2CCN1CC2,3,frz,87640120,DFT,"EAB,C1CN2CCN1CC2"
137446082,-85.681861944383,EAB,C1CN2CCN1CC2,3,MD,87640120,DFT,"EAB,C1CN2CCN1CC2"
137446088,-100.22903777915387,EAB,C1CN2CCN1CC2,4,opt,87640123,DFT,"EAB,C1CN2CCN1CC2"
137446117,-123.54463186241374,EAB,C1CNCCN1,4,frz,87640551,DFT,"EAB,C1CNCCN1"
137446117,-122.45598514897614,EAB,C1CNCCN1,4,opt,87640551,DFT,"EAB,C1CNCCN1"
137446124,-103.70695337163446,EAB,C1CNCCN1,4,MD,87640553,DFT,"EAB,C1CNCCN1"
137446243,-89.18994834414111,EAB,CCCN,3,MD,87649366,DFT,"EAB,CCCN"
137446249,-98.07566354450746,EAB,CCCN,4,opt,87649369,DFT,"EAB,CCCN"
137447152,-98.93552693031714,EAB,CCCN,4,frz,87649370,DFT,"EAB,CCCN"
