,Binding Energy (kJ/mol/OSDA),Host,Guest SMILES,Guests/Cell,ID,Constant,Metric,Theory,Parent ID,Method
774,-146.86287872698512,SFO,CN(C)c1ccncc1,1,137448227,P,MD,FF,83490298,"FF (MD, P)"
783,-146.71929272500032,LTA,C1N2CN3CN1CN(C2)C3,1,137220561,P,MD,FF,83494298,"FF (MD, P)"
786,-146.66577812376286,ATO,CN(C)C,2,137371537,V,opt,FF,87647524,"FF (opt, V)"
799,-146.1951627943971,RHO,C1COCCOCCOCCOCCOCCO1,2,129303031,P,opt,DFT,87649914,"DFT (opt, P)"
806,-145.9651056193812,SFO,CN(C)c1ccncc1,1,137448226,P,opt,FF,83490297,"FF (opt, P)"
807,-145.96177205171807,SFO,CN(C)c1ccncc1,1,137448227,P,opt,FF,83490298,"FF (opt, P)"
840,-144.9684316618464,RTE,C1C[C@H]2CC[C@@H]1CNC2,2,137315870,V,MD,FF,83596150,"FF (MD, V)"
845,-144.8133266340686,CHA,CC(C)NC(C)C,2,137488788,P,frz,FF,87638359,"FF (frz, P)"
863,-144.1507759574752,SFE,CN(C)c1ccncc1,1,137440809,P,MD,FF,83596187,"FF (MD, P)"
866,-144.07142402451225,AFI,C[C@@H](CN)CCCN,1,137442361,V,opt,FF,83492533,"FF (opt, V)"
887,-143.56873842342696,OFF,CCN(C(C)C)C(C)C,1,137336452,V,frz,FF,87640751,"FF (frz, V)"
890,-143.5101895899966,LEV,C1CCCNCC1,5,137359324,V,frz,FF,87639940,"FF (frz, V)"
901,-143.26733083976345,RTH,C[C@@H]1CNC[C@H](C)C1,1,137440865,P,frz,FF,83609190,"FF (frz, P)"
905,-143.04829373510475,SAS,C1CCNCC1,1,137219967,P,opt,FF,83519527,"FF (opt, P)"
906,-143.04126767440374,BPH,CCN(CC)CC,1,137443728,P,frz,FF,83513275,"FF (frz, P)"
914,-142.75721008024448,TON,c1ccncc1,1,147663834,P,opt,DFT,83530453,"DFT (opt, P)"
916,-142.74072266946388,RTE,CN1C(C)(C)CCCC1(C)C,1,137448845,V,frz,FF,83494075,"FF (frz, V)"
949,-141.65545969605307,AFI,N[C@H]1CC[C@H](N)CC1,1,84700226,P,opt,DFT,83514924,"DFT (opt, P)"
955,-141.5701097504944,BEC,CN(C)CCN(C)C,1,137440652,P,opt,FF,83525944,"FF (opt, P)"
956,-141.5657332913746,CHA,CN1CCCC1,2,137440902,P,MD,FF,87638706,"FF (MD, P)"
958,-141.48830502857004,SOD,CP(C)C,1,137220537,P,MD,FF,87647250,"FF (MD, P)"
975,-141.0698478605439,AFY,CCCNCCC,1,137490546,P,frz,FF,83500162,"FF (frz, P)"
1004,-140.03898041365738,GME,NCCNCCNCCN,1,137370007,V,frz,FF,83494328,"FF (frz, V)"
1007,-139.92990472892853,AWW,C1CCCNCC1,1,137440824,V,frz,FF,83519929,"FF (frz, V)"
1008,-139.861462870121,AFI,CN1CCNCC1,1,137443804,P,opt,FF,83542591,"FF (opt, P)"
1011,-139.7488355609111,AFI,C[C@@H](CN)CCCN,1,84743714,P,opt,DFT,83492533,"DFT (opt, P)"
1014,-139.67805200349207,SFE,CN(C)c1ccncc1,1,147629466,P,opt,DFT,83596186,"DFT (opt, P)"
1015,-139.6661621180056,AFI,C[C@H](CN)CCCN,1,147611712,P,opt,DFT,83492532,"DFT (opt, P)"
1021,-139.46931084688862,SFN,C1CCCNCCC1,1,137440860,P,frz,FF,83492138,"FF (frz, P)"
1023,-139.27417363739448,RHO,C1COCCOCCOCCOCCOCCO1,2,148457979,V,opt,DFT,87649914,"DFT (opt, V)"
1028,-139.16879158881494,CHA,CCN(C(C)C)C(C)C,2,137327948,V,MD,FF,87638165,"FF (MD, V)"
1036,-138.83157185463085,AFY,CCN(CC)CC,1,137441113,P,frz,FF,83496874,"FF (frz, P)"
1046,-138.63394870097548,AFI,N[C@H]1CC[C@H](N)CC1,1,137368674,V,opt,FF,83514924,"FF (opt, V)"
1048,-138.55655782912217,AFI,C1CN2CCN1CC2,1,147671762,P,opt,DFT,83524052,"DFT (opt, P)"
1059,-138.13736483126547,SFN,C1CCCNCCC1,1,137440860,P,opt,FF,83492138,"FF (opt, P)"
1064,-137.99323603128337,AFO,CCCNCCC,1,137355882,V,opt,FF,87638523,"FF (opt, V)"
1074,-137.74203844114103,JRY,CCNCC,2,137321628,V,opt,FF,83511741,"FF (opt, V)"
1079,-137.64056001018142,AFI,C[C@H](CN)CCCN,1,137320193,V,frz,FF,83492532,"FF (frz, V)"
1081,-137.60908695921597,RTE,N[C@@H]1C[C@H]2CC[C@@H]1C2,1,137365580,V,MD,FF,83518459,"FF (MD, V)"
1087,-137.31695597960427,SAS,C1CCNCC1,1,137219967,P,frz,FF,83519527,"FF (frz, P)"
