ID,Framework,Total Energy (kJ/mol Si),Method,Optimizer
137363276,alpha-quartz,149.81586005586684,MD,CG + RFO (G < 0.10)
137362802,alpha-quartz,149.90949213813272,MD,BFGS + RFO (G < 0.05)
137362802,alpha-quartz,135.53287012531723,opt,BFGS + RFO (G < 0.05)
137363276,alpha-quartz,135.53287848737793,opt,CG + RFO (G < 0.10)
137366689,ANA,185.77017729280607,MD,BFGS + RFO (G < 0.05)
137366689,ANA,170.51470835870143,opt,BFGS + RFO (G < 0.05)
137318465,ANA,185.782389146895,MD,BFGS + RFO (G < 0.15)
137318465,ANA,170.51470835870143,opt,BFGS + RFO (G < 0.15)
137367920,ANA,170.51470833860034,opt,Lower + RFO
137371644,ANA,185.78281581462934,MD,CG + RFO (G < 0.10)
137367920,ANA,185.76957593261523,MD,Lower + RFO
137371644,ANA,170.51470833860034,opt,CG + RFO (G < 0.10)
137328428,APC,194.62907150706383,MD,BFGS + RFO (G < 0.05)
137336954,APC,187.6860664810668,opt,Lower + RFO
137336954,APC,193.60104369885767,MD,Lower + RFO
137315448,APC,180.5477806939039,opt,BFGS + RFO (G < 0.15)
137315448,APC,193.57746199743002,MD,BFGS + RFO (G < 0.15)
137328428,APC,187.68603090210655,opt,BFGS + RFO (G < 0.05)
139582369,APD,199.8745192218455,opt,BFGS + RFO (G < 0.05)
139628107,APD,197.486839111457,opt,BFGS + RFO (G < 0.15)
137347912,APD,214.0176495919551,MD,CG + RFO (G < 0.10)
137347912,APD,199.26723075406122,opt,CG + RFO (G < 0.10)
137356909,AST,231.93349088939345,MD,Lower + RFO
137356909,AST,246.95615096693442,opt,Lower + RFO
137349961,AST,219.77473998808577,opt,BFGS + RFO (G < 0.15)
137349961,AST,232.04867098145112,MD,BFGS + RFO (G < 0.15)
137315353,ASV,107.20931798287198,opt,BFGS + RFO (G < 0.15)
137315353,ASV,122.28521734587211,MD,BFGS + RFO (G < 0.15)
137332504,ASV,107.7580435786123,opt,Lower + RFO
137359696,ASV,122.28557803722525,MD,BFGS + RFO (G < 0.05)
137332504,ASV,122.32852092609825,MD,Lower + RFO
137315586,ASV,107.7580435786123,opt,CG + RFO (G < 0.10)
137315586,ASV,122.81768691835119,MD,CG + RFO (G < 0.10)
137359696,ASV,107.20931696977617,opt,BFGS + RFO (G < 0.05)
137323521,ATN,188.2501874129023,MD,BFGS + RFO (G < 0.05)
137323521,ATN,173.49525922657986,opt,BFGS + RFO (G < 0.05)
137349739,ATN,188.62401569425057,MD,CG + RFO (G < 0.10)
137346874,ATN,173.4952598899164,opt,Lower + RFO
137346874,ATN,188.4785292870119,MD,Lower + RFO
137349739,ATN,179.75762496378988,opt,CG + RFO (G < 0.10)
137326952,ATN,173.49525904566988,opt,BFGS + RFO (G < 0.15)
137326952,ATN,188.27962352935285,MD,BFGS + RFO (G < 0.15)
137343415,ATO,201.14030427414167,MD,CG + RFO (G < 0.10)
137343415,ATO,189.1812591216197,opt,CG + RFO (G < 0.10)
137371628,ATO,192.70355077603014,opt,BFGS + RFO (G < 0.15)
137335659,ATO,197.636329998471,MD,Lower + RFO
137335659,ATO,186.8941140000607,opt,Lower + RFO
137371628,ATO,196.21039971432134,MD,BFGS + RFO (G < 0.15)
137319819,ATO,191.060348518531,opt,BFGS + RFO (G < 0.05)
137319819,ATO,202.18890541811967,MD,BFGS + RFO (G < 0.05)
137353100,ATS,178.3224658878096,MD,CG + RFO (G < 0.10)
137353100,ATS,163.2280394726653,opt,CG + RFO (G < 0.10)
137344222,ATS,178.31365133493082,MD,BFGS + RFO (G < 0.05)
137344222,ATS,163.2280394726653,opt,BFGS + RFO (G < 0.05)
137350931,ATS,163.2280394726653,opt,BFGS + RFO (G < 0.15)
137350931,ATS,178.31365133493082,MD,BFGS + RFO (G < 0.15)
137355249,ATT,197.96501291119645,MD,CG + RFO (G < 0.10)
137355249,ATT,183.12855164064035,opt,CG + RFO (G < 0.10)
139636944,ATT,183.128549710934,opt,BFGS + RFO (G < 0.05)
139607208,ATT,183.128549710934,opt,BFGS + RFO (G < 0.15)
137344637,ATV,229.60565041431863,MD,Lower + RFO
137355454,ATV,229.6679406758443,MD,BFGS + RFO (G < 0.05)
137355454,ATV,218.87376724043344,opt,BFGS + RFO (G < 0.05)
137342799,ATV,230.81201210665014,MD,CG + RFO (G < 0.10)
137342799,ATV,217.15067550321993,opt,CG + RFO (G < 0.10)
137344637,ATV,218.87375606421767,opt,Lower + RFO
137336124,ATV,230.2634670514721,MD,BFGS + RFO (G < 0.15)
137336124,ATV,215.10086868702513,opt,BFGS + RFO (G < 0.15)
137324867,AVL,187.94182810305816,MD,BFGS + RFO (G < 0.05)
137365241,AVL,187.93749432395148,MD,Lower + RFO
137365241,AVL,174.84040434726538,opt,Lower + RFO
137324867,AVL,174.6726021399098,opt,BFGS + RFO (G < 0.05)
137367888,AVL,174.67260211693713,opt,CG + RFO (G < 0.10)
137367888,AVL,187.96546555805796,MD,CG + RFO (G < 0.10)
137342199,AVL,187.95511940169175,MD,BFGS + RFO (G < 0.15)
137342199,AVL,174.6726021399098,opt,BFGS + RFO (G < 0.15)
137360134,AWO,170.34240992701191,opt,BFGS + RFO (G < 0.15)
137360134,AWO,185.9231117442534,MD,BFGS + RFO (G < 0.15)
137362718,AWO,170.34240992701191,opt,BFGS + RFO (G < 0.05)
137362718,AWO,185.9231117442534,MD,BFGS + RFO (G < 0.05)
137329552,AWO,186.07233489056003,MD,CG + RFO (G < 0.10)
137336075,AWO,185.56227778282684,MD,Lower + RFO
137329552,AWO,170.342409947113,opt,CG + RFO (G < 0.10)
137336075,AWO,170.342409947113,opt,Lower + RFO
137362335,AWW,169.01963705178335,opt,BFGS + RFO (G < 0.15)
137362335,AWW,184.10080623613456,MD,BFGS + RFO (G < 0.15)
137351553,AWW,169.01963853926534,opt,CG + RFO (G < 0.10)
137351553,AWW,184.10859271097883,MD,CG + RFO (G < 0.10)
137344592,AWW,184.10559364333267,MD,BFGS + RFO (G < 0.05)
137344592,AWW,169.01963705178335,opt,BFGS + RFO (G < 0.05)
137349877,AWW,184.1054603465377,MD,Lower + RFO
137349877,AWW,169.01963701158118,opt,Lower + RFO
137336014,BCT,244.78594160437393,MD,Lower + RFO
137336014,BCT,224.7974017581323,opt,Lower + RFO
137315999,BCT,242.6224263901505,MD,CG + RFO (G < 0.10)
139638827,BCT,227.7738298687673,opt,BFGS + RFO (G < 0.15)
137315999,BCT,227.7738298687673,opt,CG + RFO (G < 0.10)
137335346,BEA,164.6359170398405,opt,CG + RFO (G < 0.10)
137351991,BEA,178.74254059804636,MD,BFGS + RFO (G < 0.15)
137351991,BEA,164.950559619812,opt,BFGS + RFO (G < 0.15)
137336422,BEA,165.66731884954262,opt,Lower + RFO
137336422,BEA,179.9956356540593,MD,Lower + RFO
137335346,BEA,178.04739334812274,MD,CG + RFO (G < 0.10)
137334071,BEA,179.97510245431724,MD,BFGS + RFO (G < 0.05)
137334071,BEA,165.66724915397774,opt,BFGS + RFO (G < 0.05)
137363123,BEC,162.31827218294728,opt,CG + RFO (G < 0.10)
137363123,BEC,177.4307885217865,MD,CG + RFO (G < 0.10)
137358406,BEC,178.83884842017233,MD,BFGS + RFO (G < 0.05)
137358406,BEC,163.75146008974673,opt,BFGS + RFO (G < 0.05)
137321910,BEC,163.75146005959508,opt,BFGS + RFO (G < 0.15)
137321910,BEC,178.84772789461223,MD,BFGS + RFO (G < 0.15)
137357348,BEC,179.02652693701782,MD,Lower + RFO
137357348,BEC,163.89504166722992,opt,Lower + RFO
137350602,BIK,220.0191748983177,opt,CG + RFO (G < 0.10)
137350602,BIK,235.12423387423138,MD,CG + RFO (G < 0.10)
137365358,BIK,216.59888076586512,opt,BFGS + RFO (G < 0.15)
137365358,BIK,231.61862095830176,MD,BFGS + RFO (G < 0.15)
137359552,BOF,146.2967513392163,opt,BFGS + RFO (G < 0.15)
137362945,BOF,161.29981157464962,MD,BFGS + RFO (G < 0.05)
137359552,BOF,161.20784710208423,MD,BFGS + RFO (G < 0.15)
137362945,BOF,146.29675141962073,opt,BFGS + RFO (G < 0.05)
137345694,BOF,146.2967512990141,opt,Lower + RFO
137345694,BOF,161.2882232848238,MD,Lower + RFO
137346494,BOF,146.2967512990141,opt,CG + RFO (G < 0.10)
137346494,BOF,161.26729912165013,MD,CG + RFO (G < 0.10)
137321481,BOG,152.7165979566422,opt,BFGS + RFO (G < 0.15)
137321481,BOG,167.95659387196122,MD,BFGS + RFO (G < 0.15)
137344311,BOG,167.98846397955256,MD,BFGS + RFO (G < 0.05)
137343353,BOG,167.93912576826762,MD,CG + RFO (G < 0.10)
137343353,BOG,153.06299968841054,opt,CG + RFO (G < 0.10)
137327519,BOG,167.95137867499594,MD,Lower + RFO
137327519,BOG,152.7165979666928,opt,Lower + RFO
137344311,BOG,152.7165979566422,opt,BFGS + RFO (G < 0.05)
137328733,BOZ,132.19699590990828,MD,BFGS + RFO (G < 0.15)
137328733,BOZ,117.08602947340218,opt,BFGS + RFO (G < 0.15)
137318901,BOZ,117.2833863695367,opt,Lower + RFO
137356286,BOZ,132.1713276314141,MD,CG + RFO (G < 0.10)
137356286,BOZ,117.18347393720477,opt,CG + RFO (G < 0.10)
137318901,BOZ,132.2104725070301,MD,Lower + RFO
137332621,BOZ,132.17957188615875,MD,BFGS + RFO (G < 0.05)
137332621,BOZ,117.0357832139867,opt,BFGS + RFO (G < 0.05)
137363764,BPH,141.66981409216655,opt,BFGS + RFO (G < 0.05)
137363764,BPH,147.24839479839798,MD,BFGS + RFO (G < 0.05)
137368294,BPH,141.66985826865758,opt,Lower + RFO
137351631,BPH,147.1999749052156,MD,BFGS + RFO (G < 0.15)
137351631,BPH,132.1312946495413,opt,BFGS + RFO (G < 0.15)
137368294,BPH,147.2561174604404,MD,Lower + RFO
137330933,BPH,147.2580275911533,MD,CG + RFO (G < 0.10)
137330933,BPH,132.14289104735965,opt,CG + RFO (G < 0.10)
137358753,BRE,152.83312277008184,opt,BFGS + RFO (G < 0.15)
137358753,BRE,166.8835194834814,MD,BFGS + RFO (G < 0.15)
137322786,BRE,166.900485348345,MD,Lower + RFO
137322786,BRE,152.83312277008184,opt,Lower + RFO
137340480,BRE,166.91135461013315,MD,BFGS + RFO (G < 0.05)
137340480,BRE,152.83312277008184,opt,BFGS + RFO (G < 0.05)
137318483,BRE,166.94895657182195,MD,CG + RFO (G < 0.10)
137318483,BRE,152.83312277008184,opt,CG + RFO (G < 0.10)
137346034,BSV,104.47687508076729,MD,BFGS + RFO (G < 0.05)
137346034,BSV,89.35588676413,opt,BFGS + RFO (G < 0.05)
137353552,BSV,89.35588690483776,opt,CG + RFO (G < 0.10)
137340317,BSV,89.35588676413,opt,BFGS + RFO (G < 0.15)
137353552,BSV,104.47686349105882,MD,CG + RFO (G < 0.10)
137354000,BSV,104.47687508076729,MD,Lower + RFO
137354000,BSV,89.35588676413,opt,Lower + RFO
137340317,BSV,104.47687508076729,MD,BFGS + RFO (G < 0.15)
137339080,CAN,189.4859354133731,opt,CG + RFO (G < 0.10)
137339080,CAN,204.40413585270275,MD,CG + RFO (G < 0.10)
137368205,CAN,204.44350607747202,MD,BFGS + RFO (G < 0.05)
137339852,CAN,189.4859354133731,opt,BFGS + RFO (G < 0.15)
137368205,CAN,189.4859354133731,opt,BFGS + RFO (G < 0.05)
137339852,CAN,204.44350607747202,MD,BFGS + RFO (G < 0.15)
137369382,CAN,214.16708988169438,MD,Lower + RFO
137369382,CAN,197.86109504835395,opt,Lower + RFO
137320776,CAS,215.95563443198066,opt,Lower + RFO
139587318,CAS,216.68085404698658,opt,BFGS + RFO (G < 0.05)
137318503,CAS,231.3509406374022,MD,CG + RFO (G < 0.10)
137318503,CAS,218.42012190922435,opt,CG + RFO (G < 0.10)
137320776,CAS,231.05710859695031,MD,Lower + RFO
137330370,CDO,199.58582503922707,opt,BFGS + RFO (G < 0.05)
137319764,CDO,199.58582503922707,opt,BFGS + RFO (G < 0.15)
137319764,CDO,211.55068706139238,MD,BFGS + RFO (G < 0.15)
137325456,CFI,203.37838328648706,opt,BFGS + RFO (G < 0.05)
137316247,CFI,199.46420486305823,opt,BFGS + RFO (G < 0.15)
137316247,CFI,210.51471733045057,MD,BFGS + RFO (G < 0.15)
137325456,CFI,214.05464624037134,MD,BFGS + RFO (G < 0.05)
137350451,CFI,210.0104547685927,MD,Lower + RFO
137350451,CFI,202.38369885820566,opt,Lower + RFO
137321219,CGF,142.75323829365485,MD,CG + RFO (G < 0.10)
137321219,CGF,127.38537673241781,opt,CG + RFO (G < 0.10)
137362624,CGF,142.6046250957968,MD,BFGS + RFO (G < 0.05)
137362624,CGF,128.40588007509342,opt,BFGS + RFO (G < 0.05)
137335321,CGF,142.78399604502272,MD,Lower + RFO
137335321,CGF,128.4060254195012,opt,Lower + RFO
137324260,CGS,129.8395538379001,MD,Lower + RFO
137352432,CGS,114.74118723735297,opt,BFGS + RFO (G < 0.15)
137352432,CGS,129.83940800756673,MD,BFGS + RFO (G < 0.15)
137328441,CGS,129.83941728938862,MD,BFGS + RFO (G < 0.05)
137328441,CGS,114.741187056443,opt,BFGS + RFO (G < 0.05)
137324260,CGS,114.741187056443,opt,Lower + RFO
137371330,CHA,190.15452849719318,MD,Lower + RFO
137365688,CHA,174.83271336107302,opt,CG + RFO (G < 0.10)
137365688,CHA,190.21399828617996,MD,CG + RFO (G < 0.10)
137371330,CHA,174.49296867722504,opt,Lower + RFO
137364260,CHA,190.18377165886452,MD,BFGS + RFO (G < 0.05)
137364260,CHA,174.81921410053064,opt,BFGS + RFO (G < 0.05)
137337924,CHA,190.02277927067047,MD,BFGS + RFO (G < 0.15)
137337924,CHA,174.8178355397788,opt,BFGS + RFO (G < 0.15)
137329069,CHI,109.06726738348515,opt,BFGS + RFO (G < 0.05)
137329069,CHI,123.06555185363374,MD,BFGS + RFO (G < 0.05)
137361908,CHI,107.5830470143727,opt,BFGS + RFO (G < 0.15)
137352730,CHI,123.00741855805775,MD,Lower + RFO
137361908,CHI,122.67621242846434,MD,BFGS + RFO (G < 0.15)
137327439,CHI,122.96683420160291,MD,CG + RFO (G < 0.10)
137327439,CHI,108.43782628189145,opt,CG + RFO (G < 0.10)
137352730,CHI,109.06725445664568,opt,Lower + RFO
137371448,CON,164.1429625611746,MD,CG + RFO (G < 0.10)
137371448,CON,148.9932204657561,opt,CG + RFO (G < 0.10)
137338464,CON,164.1599460802074,MD,Lower + RFO
137370300,CON,148.99339910142666,opt,BFGS + RFO (G < 0.05)
137370300,CON,164.14374444705265,MD,BFGS + RFO (G < 0.05)
137338464,CON,148.99329345000578,opt,Lower + RFO
137338366,CSV,147.53759029933227,opt,BFGS + RFO (G < 0.05)
137338366,CSV,159.2628773788211,MD,BFGS + RFO (G < 0.05)
137325074,CSV,146.6006937127345,opt,BFGS + RFO (G < 0.15)
137325074,CSV,159.75864832302864,MD,BFGS + RFO (G < 0.15)
137366112,CSV,159.28959653812527,MD,CG + RFO (G < 0.10)
137366112,CSV,147.53758561979444,opt,CG + RFO (G < 0.10)
137326804,CTH,188.7198946291462,MD,BFGS + RFO (G < 0.15)
137343909,CTH,172.2313418035575,opt,BFGS + RFO (G < 0.05)
137343909,CTH,186.69050625671312,MD,BFGS + RFO (G < 0.05)
137326804,CTH,173.94851296560165,opt,BFGS + RFO (G < 0.15)
137357985,CTH,174.68752873450728,opt,CG + RFO (G < 0.10)
137357985,CTH,188.33480487599357,MD,CG + RFO (G < 0.10)
137363757,CTH,172.23134043919484,opt,Lower + RFO
137363757,CTH,186.88391104279643,MD,Lower + RFO
